Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,CH Miso Caesar,10,0,2,9,0,113.4,18,5.4,90,90,95.4,Food,
Item,CH Powerbowl Salad,8,0,0,11,0,91.3,33,3.3,55,55,58.3,Food,
Item,Pisco,1,0,0,9,0,9,0,0,9,9,9,Liquor,
Item,Grinch Mexico,52,0,0,18,0,936,0,0,936,936,936,Liquor,
Item,Monkey 47 martini,11,0,0,18,0,198,0,0,198,198,198,Liquor,
Item,Jameson,332,0,0,8.25,0,2739,16,0,2723,2723,2723,Liquor,
Item,Fundraiser,1,1,0,51,0,0,0,0,0,0,51,ROA/DEPOSITS,
Item,CH Salmon,21,0,1,18,0,414.9,81,18.9,315,315,333.9,Food,
Item,Tannenbaum,130,0,0,17,0,2210,17,0,2193,2193,2193,Liquor,
Item,Key Lime Marg,3786,21,2,9.86,0,37354,413,0,36941,36941,36941,Liquor,
Item,CH Cavatappi,11,0,1,17,0,213.18,51,9.18,153,153,162.18,Food,
Item,Mezcal Flight,1,0,0,18,0,18,0,0,18,18,18,Liquor,
Item,Gin & Tonic,1784,5,0,13.11,0,23395,282,0,23113,23113,23113,Liquor,
Item,CH Side of Fries,0,1,0,0,0,0,0,0,0,0,0,Food,
Item,CH Panna Cotta,5,0,0,8,0,41.44,16,1.44,24,24,25.44,Food,
Item,Crown Royal,76,1,0,8.05,0,612,21,0,591,591,591,Liquor,
Item,Spicy Dog,272,0,1,14.01,0,3824,154,0,3670,3670,3670,Liquor,
Item,Paper Plane,11,0,0,13,0,143,0,0,143,143,143,Liquor,
Item,Negroni Blanco,2,0,0,14,0,28,14,0,14,14,14,Liquor,
Item,Elijah Craig Small Batch,0,1,0,0,0,0,0,0,0,0,0,Liquor,
Item,Basil Haydens ,197,0,0,14.19,0,2795,57,0,2738,2738,2738,Liquor,
Item,Chazalettes Vermouth,3,0,0,8,0,24,0,0,24,24,24,Liquor,
Item,CH NuÃŸschnecken,2,0,1,9,0,27.81,13.5,0.81,13.5,13.5,14.31,Food,
Item,CH Pastry Plate,22,0,2,9,0,226.53,40.5,10.53,175.5,175.5,186.03,Food,
Item,Ketel Cuc,0,1,0,0,0,0,0,0,0,0,0,Liquor,
Item,CH Bagel Plain,232,1,9,12.56,0,3174.5,551,148.5,2475,2475,2623.5,Food,
Item,Juice,28,0,1,3.5,0,107.38,3.5,5.88,98,98,103.88,Beverage,
Item,CH Pretzel,18,0,0,9,0,171.18,9,9.18,153,153,162.18,Food,
Item,Averell,1,0,0,9,0,9,9,0,0,0,0,Liquor,
Item,Bluecoat,73,0,0,13.62,0,994,14,0,980,980,980,Liquor,
Item,Hornitos Repo,36,0,0,9.69,0,349,0,0,349,349,349,Liquor,
Item,CH Chocolate Torte,16,0,0,9,0,151.02,27,7.02,117,117,124.02,Food,
Item,Oyster Shooter,40,0,0,9,0,360,31.5,0,328.5,328.5,328.5,Liquor,
Item,Lagavulin,3,0,0,28,0,84,0,0,84,84,84,Liquor,
Item,Rauchbier,0,2,0,0,0,0,0,0,0,0,0,Bottle Beer,
Item,Pineapple Upside Down Cake,193,0,0,7.1,0,1371,21,0,1350,1350,1350,Liquor,
Item,White Russian,201,0,0,10.08,0,2026,10,0,2016,2016,2016,Liquor,
Item,Reisdorff,163,1,0,10,0,1630,30,0,1600,1600,1600,Bottle Beer,
Item,Coiron Jaune,2,0,0,12.5,0,25,0,0,25,25,25,Liquor,
Item,Americano,3,0,0,12,0,36,0,0,36,36,36,Liquor,
Item,Whiskey Flight,1,0,0,14,0,14,14,0,0,0,0,Liquor,
Item,CH Salmon Dip,14,0,0,14,0,206.5,21,10.5,175,175,185.5,Food,
Item,X Kamikaze,44,0,0,7,0,308,0,0,308,308,308,Liquor,
