Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,Monkey Shoulder,51,0,0,11.71,0,597,79,0,518,518,518,Liquor,
Item,CH Cajun Fries,196,0,16,9.7,0,2161.07,322.5,104.07,1734.5,1734.5,1838.57,Food,
Item,Johny Walker Black,32,0,0,8.19,0,262,0,0,262,262,262,Liquor,
Item,Edelweiss,121,0,1,13.02,0,1588,28,0,1560,1560,1560,Liquor,
Item,CH Shrimp Cocktail,87,0,4,12.31,0,1177.27,165.5,57.27,954.5,954.5,1011.77,Food,
Item,Boulard Calvados,1,0,0,16,0,16,0,0,16,16,16,Liquor,
Item,Grey Goose,247,4,0,11.95,0,2952,65,0,2887,2887,2887,Liquor,
Item,Bloedlemon,20,0,0,13.5,0,270,9,0,261,261,261,Liquor,
Item,X Red Slut,35,0,0,7,0,245,0,0,245,245,245,Liquor,
Item,William Hinton,7,0,0,11.43,0,80,20,0,60,60,60,Liquor,
Item,Titos,840,5,0,8.56,0,7189,166,0,7023,7023,7023,Liquor,
Item,CH Fish Sticks,5,0,0,12,0,63.24,6,3.24,54,54,57.24,Food,
Item,Basil Dark Rye,23,0,0,13.7,0,315,70,0,245,245,245,Liquor,
Item,Montenegro Amaro,23,1,0,10.57,0,243,0,0,243,243,243,Liquor,
Item,Pride Gimlet,315,0,0,12,0,3780,24,0,3756,3756,3756,Liquor,
Item,D/ HoffbrÃ¤u Oktober,657,3,0,7,0,4599,77,0,4522,4522,4522,Draft Beer,
Item,Ch Mushrooms,24,0,2,9.54,0,259.76,52,11.76,196,196,207.76,Food,
Item,N/A Spritz,116,0,1,8.62,0,1008,36,0,972,972,972,Liquor,
Item,Virgin Mary,1,0,0,3,0,3.18,0,0.18,3,3,3.18,Beverage,
Item,Pride punch,1860,4,2,9,0,16758,216,0,16542,16542,16542,Liquor,
Modifier,Sour (Faba),287,0,0,4,0,1148,36,0,1112,1112,1112,,
Modifier,Nat Light,111,0,0,0,0,0,0,0,0,0,0,,
Modifier,Bombay Sapphire,277,0,0,11.59,0,3211,12,0,3199,3199,3199,,
Modifier,Side Chips,521,0,22,0,0,0,0,0,0,0,0,,
Modifier,Tonic,229,3,0,4,0,916,36,0,880,880,880,,
Modifier,Bloedlemoen,88,0,0,12.7,0,1118,0,0,1118,1118,1118,,
Modifier,Side Salad,326,0,46,0,0,0,0,0,0,0,0,,
Modifier,Gimlet,95,0,0,5,0,475,20,0,455,455,455,,
Modifier,Martini,1567,18,0,5,0,7835,195,0,7640,7640,7640,,
Modifier,Citrus,316,2,1,0,0,0,0,0,0,0,0,,
Modifier,Cucumber,353,3,0,0,0,0,0,0,0,0,0,,
Modifier,Hendricks,343,1,0,14.22,0,4877,39,0,4838,4838,4838,,
Modifier,Manhattan,408,0,0,5,0,2040,82.5,0,1957.5,1957.5,1957.5,,
Modifier,Collins,66,0,0,4,0,264,8,0,256,256,256,,
Modifier,Last Word,106,1,0,6,0,636,18,0,618,618,618,,
Modifier,Poloma,178,0,0,4,0,712,20,0,692,692,692,,
Modifier,Negroni,289,1,0,5,0,1445,155,0,1290,1290,1290,,
Modifier,Tanqueray,203,0,0,11.67,0,2369,0,0,2369,2369,2369,,
Modifier,Medi,485,0,0,0,0,0,0,0,0,0,0,,
Modifier,Roku,271,2,1,13,0,3536,65,0,3471,3471,3471,,
Modifier,Indian,855,3,1,0,0,0,0,0,0,0,0,,
Modifier,Bluecoat,72,0,0,12.74,0,917,48,0,869,869,869,,
Modifier,Coffee,212,5,0,3,0,636,15,0,621,621,621,,
Modifier,Old Fashioned,985,3,0,3,0,2955,93,0,2862,2862,2862,,
Modifier,Haymans,205,2,0,10,0,2050,60,0,1990,1990,1990,,
Modifier,Cosmopolitan,299,0,0,4,0,1196,8,0,1188,1188,1188,,
Modifier,Business,416,0,1,4,0,1668,84,0,1584,1584,1584,,
Modifier,Margarita,105,0,0,4,0,420,8,0,412,412,412,,
Modifier,Botanist,131,0,0,14.15,0,1853,0,0,1853,1853,1853,,
Modifier,Greyhound,44,0,0,2,0,88,0,0,88,88,88,,
Modifier,Mule,467,2,0,3,0,1401,18,0,1383,1383,1383,,
Modifier,Cherry x4,23,0,0,1,0,23,0,0,23,23,23,,
Modifier,Spritz,23,0,0,3,0,69,0,0,69,69,69,,
Modifier,White Russian,22,0,0,3,0,66,12,0,54,54,54,,
Modifier,Bay Breeze,13,0,0,0,0,0,0,0,0,0,0,,
Modifier,Drumshambo,169,1,0,14.34,0,2424,60,0,2364,2364,2364,,
Modifier,Hot Toddy,49,0,0,4,0,196,0,0,196,196,196,,
Modifier,Spritz,168,2,0,4,0,672,20,0,652,652,652,,
Modifier,Barr Hill,34,0,0,14.06,0,478,30,0,448,448,448,,
Modifier,Aviation,63,0,1,5,0,320,10,0,310,310,310,,
Modifier,Nolets,7,0,1,15.5,0,124,15,0,109,109,109,,
Modifier,Monkey 47,61,0,0,15.59,0,951,15,0,936,936,936,,
Modifier,French 75,24,5,0,5,0,120,5,0,115,115,115,,
Modifier,Caipirinha,4,0,1,4,0,20,4,0,16,16,16,,
Modifier,Sazerac,14,0,0,5,0,70,0,0,70,70,70,,
Modifier,Daiquiri,27,0,0,4,0,108,8,0,100,100,100,,
Modifier,Flithy,3,0,0,0.5,0,1.5,0,0,1.5,1.5,1.5,,
Modifier,Mahon,112,0,0,13.61,0,1524,15,0,1509,1509,1509,,
Modifier,Fresh OJ,15,0,0,2,0,30,2,0,28,28,28,,
Modifier,Boulavardier,27,0,0,5,0,135,35,0,100,100,100,,
Modifier,Stuffed Olives,10,0,0,2,0,20,0,0,20,20,20,,
Modifier,Bloody Mix,14,0,0,2,0,28,0,0,28,28,28,,
Modifier,Bees Knees,93,2,0,4,0,372,16,0,356,356,356,,
Modifier,Pepsi,1,0,0,0,0,0,0,0,0,0,0,,
Modifier,Beefeater,79,0,0,10.82,0,855,21,0,834,834,834,,
Modifier,Mint Julep,2,0,0,5,0,10,0,0,10,10,10,,
Modifier,Sipsmith,34,2,0,14.91,0,507,30,0,477,477,477,,
Modifier,Sour (Plain),8,0,0,4,0,32,0,0,32,32,32,,
Modifier,Lemon Drop,17,0,0,4,0,68,0,0,68,68,68,,
Modifier,Sunrise,15,1,0,1,0,15,0,0,15,15,15,,
Modifier,Mojito,20,1,0,4,0,80,0,0,80,80,80,,
Modifier,Plymouth,16,0,0,13,0,208,13,0,195,195,195,,
Modifier,NY Sour,7,0,0,5,0,35,0,0,35,35,35,,
Modifier,Fresh GF,23,0,0,2,0,46,0,0,46,46,46,,
Modifier,Sidecar,3,0,0,4,0,12,0,0,12,12,12,,
Modifier,Empress,1,0,0,14,0,14,0,0,14,14,14,,
Modifier,Americano,2,0,0,0,0,0,0,0,0,0,0,,
Modifier,Sea Breeze,5,0,0,1,0,5,0,0,5,5,5,,
Modifier,Side Fries,9,0,2,0,0,0,0,0,0,0,0,,
Modifier,French Tini #2,1,0,0,4,0,4,0,0,4,4,4,,
Modifier,Skinny Marg,1,0,0,4,0,4,0,0,4,4,4,,
Modifier,Sgroppino,1,0,0,3,0,3,0,0,3,3,3,,
Modifier,White Negroni,1,0,0,5,0,5,0,0,5,5,5,,
Modifier,Salty Dog,5,0,0,2,0,10,0,0,10,10,10,,
Modifier,Fries,26,0,4,0,0,0,0,0,0,0,0,,
Modifier,Scapegrace,17,0,0,13,0,221,13,0,208,208,208,,
Modifier,Dirty,3,0,0,0,0,0,0,0,0,0,0,,
Modifier,Diet Pepsi,1,0,0,0,0,0,0,0,0,0,0,,
